TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-01-01,25.9,32,26.7,94,1.8,3.2,3,160,1,S,266.6666667,34.7,0.19224,50,2050.56,6.561792,5.89,346,28.8,15.22,471.8
2025-01-02,24.2,31,28.1,87,61.2,4.7,3,160,1,S,391.6666667,39.85,0.18812,50,2947.213333,13.85190267,,,,,
2025-01-03,24.2,29.2,26.9,90,3.5,0.2,4,80,1,S,16.66666667,27.4,0.19808,50,132.0533333,0.02641066667,,,,,
2025-01-04,24,32,26.8,88,9.6,0,4,170,2,S,0,26.8,0.19856,50,0,0,,,,,
2025-01-05,24.5,32.3,28.1,85,7.8,1.5,4,20,1,C,125,31.85,0.19452,50,972.6,1.4589,,,,,
2025-01-06,24.8,32.3,29.3,82,5.2,6.7,4,10,2,N,558.3333333,46.05,0.18316,50,4090.573333,27.40684133,,,,,
2025-01-07,24.7,33,28.3,86,0,8,4,190,1,S,666.6666667,48.3,0.18136,50,4836.266667,38.69013333,,,,,
2025-01-08,25,32.4,27.1,88,0,7.6,3,160,1,S,633.3333333,46.1,0.18312,50,4639.04,35.256704,,,,,
2025-01-09,25.5,32.6,27.8,91,7.6,6.7,3,230,1,S,558.3333333,44.55,0.18436,50,4117.373333,27.58640133,,,,,
2025-01-10,25.7,32.4,28.2,89,6.5,3.4,4,310,2,E,283.3333333,36.7,0.19064,50,2160.586667,7.345994667,,,,,
2025-01-11,25.5,32.6,29.3,85,3.5,3.4,5,340,2,N,283.3333333,37.8,0.18976,50,2150.613333,7.312085333,,,,,
2025-01-12,25.8,32.6,29,84,4.2,8,4,320,2,W,666.6666667,49,0.1808,50,4821.333333,38.57066667,,,,,
2025-01-13,26.2,32.8,29.7,83,0.1,8,3,220,2,S,666.6666667,49.7,0.18024,50,4806.4,38.4512,,,,,
2025-01-14,26.4,31.2,29,86,0,8,5,260,2,W,666.6666667,49,0.1808,50,4821.333333,38.57066667,,,,,
2025-01-15,26.4,31.8,29,84,2.5,3.6,6,280,2,W,300,38,0.1896,50,2275.2,8.19072,,,,,
2025-01-16,24.2,31.8,28.5,85,13.4,0,5,290,3,NW,0,28.5,0.1972,50,0,0,,,,,
2025-01-17,25.8,31.8,29.6,83,4.3,3.1,6,300,4,NW,258.3333333,37.35,0.19012,50,1964.573333,6.090177333,,,,,
2025-01-18,28.6,32.6,29.4,82,0,4.5,5,320,2,NW,375,40.65,0.18748,50,2812.2,12.6549,,,,,
2025-01-19,26.9,31.7,29.2,84,0,5,5,340,2,NW,416.6666667,41.7,0.18664,50,3110.666667,15.55333333,,,,,
2025-01-20,25.2,32.3,28.5,88,22.4,1.1,7,250,2,W,91.66666667,31.25,0.195,50,715,0.7865,,,,,
2025-01-21,23.3,31.1,27.5,85,47.3,6.2,6,250,2,W,516.6666667,43,0.1856,50,3835.733333,23.78154667,,,,,
2025-01-22,25.2,29.5,27.6,90,0,2.7,5,60,1,S,225,34.35,0.19252,50,1732.68,4.678236,,,,,
2025-01-23,25.5,32.1,28,88,2.1,2.7,3,270,2,S,225,34.75,0.1922,50,1729.8,4.67046,,,,,
2025-01-24,23.5,33,29.5,81,1.3,6.3,3,330,2,S,525,45.25,0.1838,50,3859.8,24.31674,,,,,
2025-01-25,26.4,32.8,27.4,91,0,8,4,290,1,S,666.6666667,47.4,0.18208,50,4855.466667,38.84373333,,,,,
2025-01-26,25.9,31.2,27.9,91,44.2,2.5,5,250,1,S,208.3333333,34.15,0.19268,50,1605.666667,4.014166667,,,,,
2025-01-27,24.9,32.2,28.3,86,28,0.4,5,240,2,W,33.33333333,29.3,0.19656,50,262.08,0.104832,,,,,
2025-01-28,25.6,32.6,27.9,89,8.1,8,3,170,1,S,666.6666667,47.9,0.18168,50,4844.8,38.7584,,,,,
2025-01-29,26.2,33.2,28.7,84,1.4,0.2,6,230,3,W,16.66666667,29.2,0.19664,50,131.0933333,0.02621866667,,,,,
2025-01-30,24.6,30.4,26.5,90,57.8,2.9,8,280,3,W,241.6666667,33.75,0.193,50,1865.666667,5.410433333,,,,,
2025-01-31,24.8,29.5,27.6,82,7.2,2.1,9,280,6,W,175,32.85,0.19372,50,1356.04,2.847684,,,,,
2025-02-01,26,31.2,29.2,79,1.8,0,7,300,3,NW,0,29.2,0.19664,50,0,0,6,436,28,21.73,608.4
